image_id,cat_id
M60942788,Q40446
M115875406,Q40446
M60871293,Q40446
M60424131,Q40446
M60192868,Q40446
M60908090,Q40446
M90702121,Q40446
M61135004,Q40446
M58746448,Q40446
M86441475,Q40446
M60888553,Q40446
M60871260,Q40446
M60873737,Q40446
M60510891,Q40446
M60422442,Q40446
M60859961,Q40446
M61132717,Q40446
M60422186,Q40446
M60866667,Q40446
M61137944,Q40446
M61131611,Q40446
M60894189,Q40446
M61132283,Q40446
M104734470,Q40446
M106067085,Q40446
M56468914,Q40446
M60169259,Q40446
M60878710,Q40446
M61206486,Q40446
M60886320,Q40446
M60408654,Q40446
M60871272,Q40446
M57854095,Q40446
M60886016,Q40446
M60292469,Q40446
M65147023,Q40446
M60415338,Q40446
M61146396,Q40446
M60885007,Q40446
M60876323,Q40446
M60167772,Q40446
M60873600,Q40446
M60409316,Q40446
M60859180,Q40446
M57396067,Q40446
M57862288,Q40446
M60843165,Q40446
M60415796,Q40446
M60866898,Q40446
M60414859,Q40446
M88127712,Q40446
M60865080,Q40446
M59660288,Q40446
M65099513,Q40446
M60943159,Q40446
M91225639,Q40446
M52684302,Q40446
M60514666,Q40446
M60183106,Q40446
M60914333,Q40446
M15397380,Q40446
M89608866,Q40446
M100698250,Q40446
M60282960,Q40446
M60295854,Q40446
M57670746,Q40446
M60891841,Q40446
M60907659,Q40446
M60417767,Q40446
M61209689,Q40446
M60420549,Q40446
M60852900,Q40446
M60841720,Q40446
M60171168,Q40446
M59665276,Q40446
M60860957,Q40446
M60842840,Q40446
M57861969,Q40446
M60877261,Q40446
M60857092,Q40446
M8453306,Q40446
M60935136,Q40446
M60911803,Q40446
M60854149,Q40446
M59663755,Q40446
M60854467,Q40446
M60909763,Q40446
M60422519,Q40446
M61147256,Q40446
M61143057,Q40446
M60871122,Q40446
M115988480,Q40446
M92708623,Q40446
M57854087,Q40446
M60881118,Q40446
M61143618,Q40446
M58747919,Q40446
M65150403,Q40446
M60841620,Q40446
M60892072,Q40446
M60898652,Q40446
M60163447,Q40446
M115878404,Q40446
M65146500,Q40446
M60873858,Q40446
M115354867,Q40446
M90514776,Q40446
M60264344,Q40446
M60858422,Q40446
M84618562,Q40446
M65149880,Q40446
M7705006,Q40446
M60877634,Q40446
M57395735,Q40446
M60842782,Q40446
M60283079,Q40446
M60286302,Q40446
M65097378,Q40446
M60168177,Q40446
M60503657,Q40446
M61207668,Q40446
M57852429,Q40446
M60862049,Q40446
M60510939,Q40446
M59662822,Q40446
M60879704,Q40446
M60166165,Q40446
M96173580,Q40446
M60929036,Q40446
M61134703,Q40446
M60847001,Q40446
M60880274,Q40446
M60940852,Q40446
M75826516,Q40446
M61141890,Q40446
M60887658,Q40446
M57869403,Q40446
M65091790,Q40446
M61131092,Q40446
M60501113,Q40446
M61134758,Q40446
M61143483,Q40446
M59659419,Q40446
M58757916,Q40446
M60890279,Q40446
M106578653,Q40446
M60859817,Q40446
M60858582,Q40446
M81538814,Q40446
M57868060,Q40446
M60297529,Q40446
M57870028,Q40446
M57673337,Q40446
M60876571,Q40446
M115888394,Q40446
M91073443,Q40446
M60847900,Q40446
M14245681,Q40446
M86441344,Q40446
M110918619,Q40446
M57673290,Q40446
M60885454,Q40446
M60419179,Q40446
M60907950,Q40446
M60953084,Q40446
M61210332,Q40446
M115874159,Q40446
M60509770,Q40446
M57395460,Q40446
M60866616,Q40446
M60419110,Q40446
M58745031,Q40446
M60941850,Q40446
M115875801,Q40446
M60181066,Q40446
M60283604,Q40446
M57862019,Q40446
M60893162,Q40446
M60421159,Q40446
M115875201,Q40446
M60909367,Q40446
M115987578,Q40446
M110564455,Q40446
M110918615,Q40446
M58746459,Q40446
M57371736,Q40446
M60421228,Q40446
M57673202,Q40446
M60418731,Q40446
M60876733,Q40446
M60840671,Q40446
M65150375,Q40446
M87980282,Q40446
M60510168,Q40446
M60894474,Q40446
M60892868,Q40446
M57863462,Q40446
M60175056,Q40446
M60911538,Q40446
M60167285,Q40446
M60168242,Q40446
M60840479,Q40446
M60419083,Q40446
M60278923,Q40446
M61137318,Q40446
M67371261,Q40446
M60423054,Q40446
M60947885,Q40446
M60943110,Q40446
M58744932,Q40446
M60889502,Q40446
M115874611,Q40446
M60421243,Q40446
M88690311,Q40446
M61135643,Q40446
M60936912,Q40446
M115884375,Q40446
M65143209,Q40446
M58728104,Q40446
M115522915,Q40446
M60174014,Q40446
M60880334,Q40446
M60872003,Q40446
M57673240,Q40446
M60173536,Q40446
M97916711,Q40446
M61141937,Q40446
M60937888,Q40446
M60873178,Q40446
M60946290,Q40446
M60414720,Q40446
M60876568,Q40446
M60870930,Q40446
M60275134,Q40446
M61136743,Q40446
M57863716,Q40446
M60182849,Q40446
M115876468,Q40446
M57871525,Q40446
M60173235,Q40446
M60912863,Q40446
M60875237,Q40446
M60882316,Q40446
M60864921,Q40446
M60841398,Q40446
M91828940,Q40446
M60909368,Q40446
M60860264,Q40446
M60425248,Q40446
M60181133,Q40446
M60858301,Q40446
M60286149,Q40446
M20124240,Q40446
M60937049,Q40446
M60869478,Q40446
M58713582,Q40446
M115875578,Q40446
M112298399,Q40446
M81741730,Q40446
M60183564,Q40446
M60866016,Q40446
M61131535,Q40446
M60173787,Q40446
M60946804,Q40446
M60171655,Q40446
M60412743,Q40446
M60911906,Q40446
M60423924,Q40446
M65091936,Q40446
M115877105,Q40446
M115886747,Q40446
M57871467,Q40446
M60841133,Q40446
M60411578,Q40446
M61145575,Q40446
M60274529,Q40446
M60912865,Q40446
M60276684,Q40446
M60168775,Q40446
M60942927,Q40446
M60847246,Q40446
M60851137,Q40446
M102006751,Q40446
M65091330,Q40446
M60894174,Q40446
M58783323,Q40446
M65150371,Q40446
M34607511,Q40446
M60171153,Q40446
M57853751,Q40446
M60938557,Q40446
M60873916,Q40446
M60182574,Q40446
M60515694,Q40446
M60860436,Q40446
M60908110,Q40446
M65099369,Q40446
M57868057,Q40446
M57396214,Q40446
M60859394,Q40446
M60501434,Q40446
M60889209,Q40446
M79829942,Q40446
M57869726,Q40446
M60286962,Q40446
M60870942,Q40446
M60176672,Q40446
M110573376,Q40446
M60892856,Q40446
M60300395,Q40446
M61139359,Q40446
M60515163,Q40446
M58707988,Q40446
M61138039,Q40446
M61131204,Q40446
M60510876,Q40446
M60876588,Q40446
M60855397,Q40446
M60847736,Q40446
M61131194,Q40446
M60893243,Q40446
M60883389,Q40446
M65098710,Q40446
M60883480,Q40446
M60938006,Q40446
M107868045,Q40446
M57861999,Q40446
M90423760,Q40446
M65100977,Q40446
M60891371,Q40446
M60418224,Q40446
M116146376,Q40446
M60424786,Q40446
M60496640,Q40446
M105573981,Q40446
M60865466,Q40446
M60908108,Q40446
M60858374,Q40446
M60911082,Q40446
M60423137,Q40446
M57871485,Q40446
M61137582,Q40446
M57862009,Q40446
M57863385,Q40446
M60494594,Q40446
M60847958,Q40446
M60286102,Q40446
M59665275,Q40446
M90702565,Q40446
M57864596,Q40446
M65149781,Q40446
M60873398,Q40446
M60863700,Q40446
M89978553,Q40446
M90702552,Q40446
M65099390,Q40446
M60874954,Q40446
M61210517,Q40446
M60870865,Q40446
M60173134,Q40446
M60854123,Q40446
M61134714,Q40446
M57668977,Q40446
M60302524,Q40446
M90416763,Q40446
M60888995,Q40446
M60849683,Q40446
M3687131,Q40446
M7704922,Q40446
M60285592,Q40446
M65150376,Q40446
M61210433,Q40446
M60871255,Q40446
M102789857,Q40446
M60857989,Q40446
M60276480,Q40446
M91017954,Q40446
M60857973,Q40446
M60174200,Q40446
M60499572,Q40446
M61138133,Q40446
M57852477,Q40446
M60421102,Q40446
M60500101,Q40446
M60167136,Q40446
M60415054,Q40446
M60413391,Q40446
M60873905,Q40446
M60183819,Q40446
M60864895,Q40446
M59663787,Q40446
M60867528,Q40446
M115875637,Q40446
M57853427,Q40446
M60854271,Q40446
M115885371,Q40446
M60177707,Q40446
M60858383,Q40446
M60869879,Q40446
M115984724,Q40446
M115733966,Q40446
M60907943,Q40446
M60171564,Q40446
M99849610,Q40446
M60887251,Q40446
M60849641,Q40446
M60895004,Q40446
M61158345,Q40446
M57396466,Q40446
M60858896,Q40446
M60193162,Q40446
M60281836,Q40446
M60862209,Q40446
M58719685,Q40446
M60183143,Q40446
M105573974,Q40446
M60886364,Q40446
M60935932,Q40446
M60169263,Q40446
M60849528,Q40446
M60840704,Q40446
M60871289,Q40446
M60884332,Q40446
M61140131,Q40446
M60873768,Q40446
M61156769,Q40446
M60936908,Q40446
M60167497,Q40446
M60875436,Q40446
M60409713,Q40446
M60875490,Q40446
M60287347,Q40446
M60863274,Q40446
M60511381,Q40446
M60859065,Q40446
M94159104,Q40446
M58744908,Q40446
M60907768,Q40446
M60871407,Q40446
M60938556,Q40446
M58721812,Q40446
M61132253,Q40446
M61131093,Q40446
M60859515,Q40446
M61134527,Q40446
M65148058,Q40446
M60281264,Q40446
M115875660,Q40446
M65095679,Q40446
M61137220,Q40446
M60299496,Q40446
M57851801,Q40446
M60841969,Q40446
M60950206,Q40446
M60942911,Q40446
M115988015,Q40446
M60165401,Q40446
M60908262,Q40446
M106184797,Q40446
M60871273,Q40446
M60859653,Q40446
M115988767,Q40446
M60848824,Q40446
M60869708,Q40446
M60857890,Q40446
M57861959,Q40446
M7704981,Q40446
M57398211,Q40446
M60513905,Q40446
M60878745,Q40446
M65138597,Q40446
M58753533,Q40446
M60942267,Q40446
M61134188,Q40446
M57861964,Q40446
M120072913,Q40446
M60286190,Q40446
M60417871,Q40446
M94536421,Q40446
M60173297,Q40446
M61145352,Q40446
M61131625,Q40446
M60881056,Q40446
M89259027,Q40446
M92579845,Q40446
M60881207,Q40446
M57869620,Q40446
M60415271,Q40446
M60178259,Q40446
M60177702,Q40446
M60876584,Q40446
M115523198,Q40446
